ArgumentBlock,TWType,ArgumentNumber,ArgumentType,CorrectAnswer,premise1,premise2,conclusion,TW
T,distrattore,1,distrattore,Y,Il cane rincorre il ... ,Il ...  è un felino ,Il cane rincorre un felino,GATTO
T,distrattore,2,distrattore,Y,Lucia è la ... ,La ... è vestita di bianco ,Lucia è vestita di bianco,SPOSA
T,distrattore,3,distrattore,Y,Il comodino è un ...,Un ... è un oggetto,Il comodino è un oggetto,MOBILE
T,distrattore,4,distrattore,Y,Silvestro rincorre l'... ,L'... è Titti ,Silvestro rincorre Titti,UCCELLO
T,distrattore,5,distrattore,Y,Erika è una ... ,Una ... è femmina ,Erika è femmina,RAGAZZA
T,distrattore,6,distrattore,Y,L'anguilla è un ... ,Un ... vive in acqua ,L'anguilla vive in acqua,PESCE
T,distrattore,7,distrattore,Y,Una farmacia è un ... ,Un ... è un locale ,Una farmacia è un locale,NEGOZIO
T,distrattore,8,distrattore,Y,Brad Pitt è una ... ,Una ... è un essere umano ,Brad Pitt è un essere umano,PERSONA
T,distrattore,9,distrattore,Y,Walter studia ... ,... è una disciplina ,Walter studia una disciplina,CINEMA
T,distrattore,10,distrattore,Y,Chiara adora la ... ,La ... è un'area sabbiosa ,Chiara adora un'area sabbiosa,SPIAGGIA
T,distrattore,11,distrattore,Y,Silvio possiede una ... ,Una ... è una grande casa ,Silvio possiede una grande casa,VILLA
T,distrattore,12,distrattore,Y,Carla ha sposato il ... ,Il ... è un uomo ,Carla ha sposato un uomo,MARITO
T,distrattore,13,distrattore,Y,Il Louvre è un ... ,Un ... espone oggetti ,Il Louvre espone oggetti,MUSEO
T,distrattore,14,distrattore,Y,Mario lancia la ... ,La ... è un minerale ,Mario lancia un minerale,PIETRA
T,distrattore,15,distrattore,Y,La mamma prepara il ... ,Il ... è un pasto ,La mamma prepara un pasto,PRANZO
T,distrattore,16,distrattore,Y,Giuseppe tocca la ... ,La ... è un oggetto freddo ,Giuseppe tocca un oggetto freddo,NEVE
T,distrattore,17,distrattore,Y,Il Medioevo è un'... ,Un'... è un periodo storico ,Il Medioevo è un periodo storico,EPOCA
T,distrattore,18,distrattore,Y,L'Italia è una ... ,Una ... ha dei cittadini ,L'Italia ha dei cittadini,NAZIONE
T,distrattore,19,distrattore,Y,Alice cura il ... ,Il ... è uno spazio erboso ,Alice cura uno spazio erboso,PRATO
T,distrattore,20,distrattore,Y,Dario china la ... ,La ... è una parte del corpo ,Dario china una parte del corpo,SCHIENA
T,distrattore,21,distrattore,Y,La mucca produce il ... ,Il ... è un alimento ,La mucca produce un alimento,LATTE
T,distrattore,22,distrattore,Y,Matteo indossa la ... ,La ... è un indumento ,Matteo indossa un indumento,GIACCA
T,distrattore,23,distrattore,Y,La casa ha il ... ,Il ... è una sporgenza ,La casa ha una sporgenza,BALCONE
T,distrattore,24,distrattore,Y,La mostra espone un ... ,Un ... è un dipinto ,La mostra espone un dipinto,RITRATTO
T,distrattore,25,distrattore,Y,Il pantalone ha la ... ,La ... è una parte interna ,Il pantalone ha una parte interna,TASCA
T,distrattore,1,distrattore,N,Claudio odia il ... ,Il ... muove i mulini ,Claudio muove i mulini,VENTO
T,distrattore,2,distrattore,N,Mario dipinge una ... ,Una ... è un messaggio ,Mario è un messaggio,SCRITTA
T,distrattore,3,distrattore,N,Chiara ha una ... ,Una ... è la moglie dello zio ,Chiara è la moglie dello zio,ZIA
T,distrattore,4,distrattore,N,Carlotta ha una ... ,Una ... è piccola ,Carlotta è piccola,BAMBINA
T,distrattore,5,distrattore,N,I cavalli trainano la ... ,La ... ha quattro ruote ,I cavalli hanno quattro ruote,CARROZZA
T,distrattore,6,distrattore,N,Carla possiede una ... ,Una ... ha quattro gambe ,Carla ha quattro gambe,SEDIA
T,distrattore,7,distrattore,N,L'alcolista beve il ... ,Il ... contiene alcool ,L'alcolista contiene alcool,LIQUORE
T,distrattore,8,distrattore,N,Il bambino chiama uno ... ,Uno ... va al liceo ,Il bambino va al liceo,STUDENTE
T,distrattore,9,distrattore,N,Carlo trascina la ... ,La ... ha le ruote ,Carlo ha le ruote,VALIGIA
T,distrattore,10,distrattore,N,Il lunedì inizia la ... ,La ... ha sette giorni ,Il lunedì ha sette giorni,SETTIMANA
T,distrattore,11,distrattore,N,Marco regala una ... ,Una ... è una scodella ,Marco è una scodella,TAZZA
T,distrattore,12,distrattore,N,L'amico regala la ... ,La ... ha i bottoni ,L'amico ha i bottoni,CAMICIA
T,distrattore,13,distrattore,N,Il giornalista scrive il ... ,Il ... è fatto da articoli ,Il giornalista è fatto da articoli,GIORNALE
T,distrattore,14,distrattore,N,Andrea mangia l'... ,L'... è un agrume ,Andrea è un agrume,ARANCIA
T,distrattore,15,distrattore,N,La nonna prepara la ... ,La ... è un pasto ,La nonna è un pasto,CENA
T,distrattore,16,distrattore,N,L'uva dà il ... ,Il ... è una bevanda ,L'uva è una bevanda,VINO
T,distrattore,17,distrattore,N,Melania mangia la ... ,La ... è un frutto ,Melania è un frutto,MELA
T,distrattore,18,distrattore,N,La salsa contiene il ... ,Il ... è un ortaggio ,La salsa è un ortaggio,POMODORO
T,distrattore,19,distrattore,N,La sarta rammenda il ... ,Il ... è un indumento ,La sarta è un indumento,VESTITO
T,distrattore,20,distrattore,N,L'opinionista ha un'... ,Un'... è un'idea ,L'opinionista è un'idea,OPINIONE
T,distrattore,21,distrattore,N,Ogni negozio ha un ... ,Un ... ha sempre ragione ,Ogni negozio ha sempre ragione,CLIENTE
T,distrattore,22,distrattore,N,Giuseppe richiama un ... ,Un ... è un militare ,Giuseppe è un militare,TENENTE
T,distrattore,23,distrattore,N,Caterina aspetta la ... ,La ... è fatta di ore ,Caterina è fatta di ore,SERA
T,distrattore,24,distrattore,N,Il parrucchiere cura il ... ,Il ... è liscio ,Il parrucchiere è liscio,CAPELLO
T,distrattore,25,distrattore,N,La nipotina visita la ... ,La ... ha sessant'anni,La nipotina ha sessant'anni,NONNA
P,distrattore,1,distrattore,Y,Franco studia ...  ,... è una scienza ,Franco studia una scienza,MEDICINA
P,distrattore,2,distrattore,Y,La raffineria lavora il ... ,Il ... è una miscela oleosa ,La raffineria lavora una miscela oleosa,PETROLIO
P,distrattore,1,distrattore,N,Mario guarda una ... ,Una ... ha forma arrotondata ,Mario ha forma arrotondata,COLLINA
P,distrattore,2,distrattore,N,Luigi ha una ... ,Una ... è una donna sposata ,Luigi è una donna sposata,MOGLIE
